-0.161484,-0.011119,0.062084,0.016107,-0.17231,-0.053111,0.022891,-0.222244,0.011288,-0.107181,-0.027626,-0.031683,-0.003204
-0.115197,-0.059026,0.102479,0.135485,-0.359029,-0.118895,0.093327,-0.159704,0.143709,0.074119,-0.049937,0.020023,-0.027
0.051655,0.124913,0.094644,0.061716,-0.235716,-0.094309,0.137316,-0.02402,0.146133,0.063479,-0.008777,-0.060405,0.080526
-0.020373,0.102131,0.158222,-0.046016,-0.295348,-0.028403,0.031356,-0.038363,0.18048,0.138048,0.015769,-0.16534,0.188908
0.036422,-0.142746,0.129159,-0.115881,-0.313824,-0.072603,0.050183,-0.206073,0.220434,0.233045,0.080206,-0.204637,0.098108
-0.103425,0.10847,0.132875,-0.16034,-0.155768,-0.064303,0.002225,-0.135817,0.222236,0.144094,0.115299,-0.023647,0.003686
-0.05139,-0.018515,0.146464,0.006001,-0.066734,-0.09526,0.01773,-0.021159,0.027162,0.269578,-0.025791,-0.026582,0.067657
0.109694,-0.0911,0.093488,0.048765,-0.081174,-0.003309,0.039437,-0.036068,0.036425,0.227736,0.050409,-0.096898,0.116394
0.023384,0.129411,0.046056,-0.077494,-0.264326,0.003535,-0.047616,0.007798,0.137206,0.164214,0.100665,-0.115196,0.127229
0.188314,0.032849,0.136838,0.026755,-0.121329,-0.045661,0.057463,-0.167891,0.009931,0.281099,0.193389,0.055877,0.176464
0.118336,-0.018489,0.131899,0.153995,-0.133638,-0.02068,0.068327,-0.192091,-0.021644,0.115279,0.117364,-0.096986,0.153983
0.215247,-0.079138,0.100374,0.092836,-0.311677,-0.118464,0.022693,-0.066944,-0.074901,0.295715,-0.046194,-0.125932,0.044745
0.038481,-0.140731,0.02897,0.041623,-0.391113,-0.158194,-0.028161,-0.238955,-0.025906,-0.100347,-0.062113,-0.170361,-0.043741
0.0459,-0.244586,0.003543,-0.060841,-0.277244,-0.141622,0.004194,-0.184318,-0.201469,0.028833,0.012701,-0.075767,0.018599
0.308389,-0.26315,0.003957,-0.041851,-0.208243,-0.084599,0.093485,-0.14159,-0.118522,0.127246,-0.075368,-0.204868,0.046392
0.248867,-0.264111,0.063982,0.029776,-0.160417,-0.039969,-0.003722,-0.210844,-0.038598,0.238685,-0.093706,-0.080379,0.06346
0.278287,-0.105941,0.11299,0.175092,0.015252,-0.051956,0.032513,-0.270929,0.102016,0.36957,-0.042439,-0.142703,0.080298
0.383562,-0.256386,0.124676,-0.012294,0.019625,-0.056541,0.069221,-0.161746,0.148782,0.223524,0.052003,-0.16837,0.064001
